#Source                    |Destination                |Total Strands|Capacity|Bid  |Client
#=============================================================================================
Kansas City, Missouri      ; Madison, Wisconsin        ;            7;      57;  871;     0
San Francisco, California  ; Denver, Colorado          ;            6;      88;  703;   503
Kansas City, Missouri      ; Salt Lake City, Utah      ;            7;      25;  791;   504
Denver, Colorado           ; Salt Lake City, Utah      ;            7;      17;  955;   505
San Francisco, California  ; Denver, Colorado          ;           10;      20;  924;   506
Denver, Colorado           ; Salt Lake City, Utah      ;            5;      97;  985;   507
San Francisco, California  ; Madison, Wisconsin        ;            2;      52;  674;   508
Denver, Colorado           ; Salt Lake City, Utah      ;            4;      47;  806;   509
San Francisco, California  ; Madison, Wisconsin        ;            1;      53;  840;   510
San Francisco, California  ; Salt Lake City, Utah      ;            9;      90;  956;   511
San Francisco, California  ; Denver, Colorado          ;            1;       8;  930;   512
Denver, Colorado           ; Madison, Wisconsin        ;            7;      94;  604;   513
Kansas City, Missouri      ; Madison, Wisconsin        ;            6;      50;  903;   514
Kansas City, Missouri      ; Madison, Wisconsin        ;            3;      14;  709;   515
Denver, Colorado           ; Madison, Wisconsin        ;            8;      31;  982;   516
Denver, Colorado           ; Madison, Wisconsin        ;           10;      40;  632;   517
Denver, Colorado           ; Madison, Wisconsin        ;            4;      70;  809;   518
Denver, Colorado           ; Madison, Wisconsin        ;            7;       1;  960;   519
Denver, Colorado           ; Madison, Wisconsin        ;            1;      21;  631;   520
Denver, Colorado           ; Salt Lake City, Utah      ;            6;      70;  917;   521
San Francisco, California  ; Madison, Wisconsin        ;            6;      26;  947;   522
San Francisco, California  ; Salt Lake City, Utah      ;            3;      94;  928;   523
Denver, Colorado           ; Salt Lake City, Utah      ;            3;      66;  736;   524
Denver, Colorado           ; Salt Lake City, Utah      ;            1;      44;  694;   525
Kansas City, Missouri      ; Madison, Wisconsin        ;            5;      83;  901;   526
San Francisco, California  ; Madison, Wisconsin        ;            5;      64;  836;   527
San Francisco, California  ; Denver, Colorado          ;            7;      85;  848;   528
Denver, Colorado           ; Salt Lake City, Utah      ;            1;      68;  856;   529
Denver, Colorado           ; Salt Lake City, Utah      ;            7;      17;  654;   530
San Francisco, California  ; Salt Lake City, Utah      ;           10;      12;  925;   531
San Francisco, California  ; Denver, Colorado          ;            7;      89;  895;   532
Kansas City, Missouri      ; Denver, Colorado          ;            4;      40;  921;   533
San Francisco, California  ; Madison, Wisconsin        ;            8;      86;  925;   534
Kansas City, Missouri      ; Madison, Wisconsin        ;            6;       5;  853;   535
Kansas City, Missouri      ; Denver, Colorado          ;            4;      69;  632;   536
Denver, Colorado           ; Salt Lake City, Utah      ;            6;      14;  644;   537
Kansas City, Missouri      ; Salt Lake City, Utah      ;            2;      30;  899;   538
Denver, Colorado           ; Madison, Wisconsin        ;            9;      87;  907;   539
Denver, Colorado           ; Salt Lake City, Utah      ;            1;       9;  908;   540
Kansas City, Missouri      ; Denver, Colorado          ;            9;      49;  954;   541
Denver, Colorado           ; Madison, Wisconsin        ;           10;      63;  954;   542
Kansas City, Missouri      ; Salt Lake City, Utah      ;            8;       3;  755;   543
San Francisco, California  ; Madison, Wisconsin        ;            9;      61;  843;   544
Kansas City, Missouri      ; Salt Lake City, Utah      ;           10;      92;  971;   545
Denver, Colorado           ; Salt Lake City, Utah      ;            1;      97;  821;   546
Kansas City, Missouri      ; Salt Lake City, Utah      ;            7;      76;  748;   547
Denver, Colorado           ; Salt Lake City, Utah      ;            7;      89;  725;   548
San Francisco, California  ; Salt Lake City, Utah      ;            2;      29;  799;   549
Denver, Colorado           ; Salt Lake City, Utah      ;            5;      86;  681;   550
Denver, Colorado           ; Madison, Wisconsin        ;           10;      79;  667;   551
San Francisco, California  ; Madison, Wisconsin        ;            7;      88;  858;   552
San Francisco, California  ; Denver, Colorado          ;            5;      20;  712;   553
Denver, Colorado           ; Madison, Wisconsin        ;            4;      98;  678;   554
Kansas City, Missouri      ; Salt Lake City, Utah      ;            5;      39;  699;   555
Denver, Colorado           ; Madison, Wisconsin        ;            1;     100;  769;   556
Denver, Colorado           ; Madison, Wisconsin        ;           10;      37;  625;   557
Denver, Colorado           ; Madison, Wisconsin        ;            4;      43;  850;   558
Denver, Colorado           ; Salt Lake City, Utah      ;           10;      94;  699;   559
San Francisco, California  ; Denver, Colorado          ;            2;      12;  783;   560
Denver, Colorado           ; Madison, Wisconsin        ;            7;      94;  921;   561
Kansas City, Missouri      ; Denver, Colorado          ;            4;      90;  923;   562
San Francisco, California  ; Denver, Colorado          ;            8;      67;  759;   563
Denver, Colorado           ; Madison, Wisconsin        ;            4;      41;  789;   564
Kansas City, Missouri      ; Denver, Colorado          ;            9;      61;  637;   565
San Francisco, California  ; Denver, Colorado          ;            5;      85;  625;   566
Kansas City, Missouri      ; Denver, Colorado          ;            2;      33;  600;   567
San Francisco, California  ; Madison, Wisconsin        ;            7;      25;  667;   568
San Francisco, California  ; Madison, Wisconsin        ;            2;      41;  986;   569
San Francisco, California  ; Salt Lake City, Utah      ;            6;      70;  884;   570
Denver, Colorado           ; Madison, Wisconsin        ;           10;      46;  729;   571
Kansas City, Missouri      ; Salt Lake City, Utah      ;            6;      83;  796;   572
San Francisco, California  ; Madison, Wisconsin        ;            8;       5;  812;   573
Denver, Colorado           ; Madison, Wisconsin        ;            6;      17;  951;   574
Denver, Colorado           ; Madison, Wisconsin        ;           10;      70;  926;   575
San Francisco, California  ; Madison, Wisconsin        ;            1;      57;  841;   576
Denver, Colorado           ; Madison, Wisconsin        ;            5;      46;  943;   577
Kansas City, Missouri      ; Denver, Colorado          ;            9;      29;  615;   578
Denver, Colorado           ; Madison, Wisconsin        ;            4;      63;  792;   579
Denver, Colorado           ; Salt Lake City, Utah      ;            1;      34;  919;   580
Denver, Colorado           ; Madison, Wisconsin        ;            9;      63;  678;   581
Denver, Colorado           ; Salt Lake City, Utah      ;            7;       6;  732;   582
Denver, Colorado           ; Salt Lake City, Utah      ;            6;      63;  646;   583
San Francisco, California  ; Denver, Colorado          ;            5;      85;  739;   584
San Francisco, California  ; Denver, Colorado          ;            8;      15;  706;   585
San Francisco, California  ; Salt Lake City, Utah      ;            1;       7;  774;   586
Kansas City, Missouri      ; Denver, Colorado          ;            9;       2;  995;   587
Kansas City, Missouri      ; Madison, Wisconsin        ;            6;       2;  616;   588
Kansas City, Missouri      ; Madison, Wisconsin        ;            9;      50;  665;   589
San Francisco, California  ; Salt Lake City, Utah      ;            4;      76;  631;   590
Kansas City, Missouri      ; Madison, Wisconsin        ;            5;       6;  952;   591
San Francisco, California  ; Salt Lake City, Utah      ;            2;      72;  803;   592
Denver, Colorado           ; Madison, Wisconsin        ;            1;      71;  916;   593
San Francisco, California  ; Denver, Colorado          ;            9;      64;  600;   594
San Francisco, California  ; Madison, Wisconsin        ;            9;      58;  846;   595
San Francisco, California  ; Madison, Wisconsin        ;           10;      87;  997;   596
Kansas City, Missouri      ; Madison, Wisconsin        ;            1;      81;  764;   597
San Francisco, California  ; Denver, Colorado          ;            9;     100;  895;   598
San Francisco, California  ; Denver, Colorado          ;            3;      54;  818;   599
Denver, Colorado           ; Salt Lake City, Utah      ;            8;      15;  740;   600
Kansas City, Missouri      ; Madison, Wisconsin        ;            1;      19;  870;   601
San Francisco, California  ; Salt Lake City, Utah      ;            4;      58;  790;   602
Kansas City, Missouri      ; Denver, Colorado          ;            4;      98;  601;   603
San Francisco, California  ; Salt Lake City, Utah      ;            3;      26;  697;   604
Kansas City, Missouri      ; Madison, Wisconsin        ;           10;      16;  791;   605
San Francisco, California  ; Denver, Colorado          ;           10;      45;  610;   606
Kansas City, Missouri      ; Denver, Colorado          ;            8;      34;  924;   607
Kansas City, Missouri      ; Denver, Colorado          ;            3;      93;  852;   608
San Francisco, California  ; Denver, Colorado          ;            4;      47;  862;   609
Denver, Colorado           ; Salt Lake City, Utah      ;            9;       4;  638;   610
Kansas City, Missouri      ; Salt Lake City, Utah      ;           10;     100;  604;   611
San Francisco, California  ; Madison, Wisconsin        ;            4;      24;  637;   612
San Francisco, California  ; Denver, Colorado          ;            9;      86;  942;   613
Denver, Colorado           ; Salt Lake City, Utah      ;           10;      33;  946;   614
Kansas City, Missouri      ; Denver, Colorado          ;           10;      40;  895;   615
San Francisco, California  ; Salt Lake City, Utah      ;           10;      11;  629;   616
Denver, Colorado           ; Salt Lake City, Utah      ;            2;      54;  883;   617
Kansas City, Missouri      ; Salt Lake City, Utah      ;            4;      93;  664;   618
Kansas City, Missouri      ; Madison, Wisconsin        ;            4;      85;  657;   619
Kansas City, Missouri      ; Madison, Wisconsin        ;            8;      39;  626;   620
Kansas City, Missouri      ; Madison, Wisconsin        ;            1;      26;  858;   621
Denver, Colorado           ; Madison, Wisconsin        ;            2;      37;  936;   622
Denver, Colorado           ; Salt Lake City, Utah      ;            7;      95;  926;   623
Denver, Colorado           ; Salt Lake City, Utah      ;            8;      46;  952;   624
Kansas City, Missouri      ; Madison, Wisconsin        ;            2;      21;  821;   625
San Francisco, California  ; Madison, Wisconsin        ;            1;      78;  712;   626
Denver, Colorado           ; Salt Lake City, Utah      ;           10;      18;  609;   627
San Francisco, California  ; Salt Lake City, Utah      ;            8;       1;  821;   628
Kansas City, Missouri      ; Madison, Wisconsin        ;            4;      17;  841;   629
Denver, Colorado           ; Salt Lake City, Utah      ;            8;      36;  818;   630
San Francisco, California  ; Salt Lake City, Utah      ;            7;      72;  872;   631
Kansas City, Missouri      ; Madison, Wisconsin        ;            4;      53;  663;   632
San Francisco, California  ; Madison, Wisconsin        ;            2;      86;  724;   633
Denver, Colorado           ; Madison, Wisconsin        ;            4;      83;  903;   634
Kansas City, Missouri      ; Denver, Colorado          ;            5;      71;  843;   635
San Francisco, California  ; Denver, Colorado          ;            3;       8;  788;   636
Kansas City, Missouri      ; Madison, Wisconsin        ;            9;       3;  737;   637
San Francisco, California  ; Madison, Wisconsin        ;            4;       4;  989;   638
San Francisco, California  ; Madison, Wisconsin        ;            2;      12;  794;   639
Denver, Colorado           ; Madison, Wisconsin        ;            4;      71;  662;   640
Denver, Colorado           ; Salt Lake City, Utah      ;            7;       9;  744;   641
Kansas City, Missouri      ; Denver, Colorado          ;            8;      76;  850;   642
San Francisco, California  ; Madison, Wisconsin        ;            8;       5;  690;   643
Denver, Colorado           ; Madison, Wisconsin        ;            8;      83;  828;   644
Denver, Colorado           ; Salt Lake City, Utah      ;            6;      97;  620;   645
San Francisco, California  ; Salt Lake City, Utah      ;            2;      21;  911;   646
San Francisco, California  ; Denver, Colorado          ;            9;     100;  722;   647
Denver, Colorado           ; Salt Lake City, Utah      ;            3;      78;  966;   648
Denver, Colorado           ; Madison, Wisconsin        ;           10;      10;  842;   649
Denver, Colorado           ; Salt Lake City, Utah      ;           10;      77;  762;   650
San Francisco, California  ; Salt Lake City, Utah      ;            8;      14;  825;   651
Kansas City, Missouri      ; Salt Lake City, Utah      ;            8;       8;  700;   652
Denver, Colorado           ; Madison, Wisconsin        ;            9;      50;  913;   653
Denver, Colorado           ; Salt Lake City, Utah      ;            8;      29;  837;   654
San Francisco, California  ; Denver, Colorado          ;            3;      53;  915;   655
Kansas City, Missouri      ; Salt Lake City, Utah      ;            9;       9;  813;   656
Denver, Colorado           ; Salt Lake City, Utah      ;            8;       7;  879;   657
Kansas City, Missouri      ; Salt Lake City, Utah      ;            8;      39;  684;   658
San Francisco, California  ; Denver, Colorado          ;            7;      68;  817;   659
Kansas City, Missouri      ; Madison, Wisconsin        ;            5;       4;  603;   660
San Francisco, California  ; Denver, Colorado          ;           10;      71;  813;   661
Kansas City, Missouri      ; Madison, Wisconsin        ;            6;      44;  820;   662
Denver, Colorado           ; Salt Lake City, Utah      ;            7;       6;  636;   663
Kansas City, Missouri      ; Madison, Wisconsin        ;            7;      82;  929;   664
Denver, Colorado           ; Salt Lake City, Utah      ;            6;      83;  810;   665
San Francisco, California  ; Denver, Colorado          ;            5;      66;  905;   666
San Francisco, California  ; Madison, Wisconsin        ;            6;      96;  859;   667
Denver, Colorado           ; Salt Lake City, Utah      ;            1;      16;  666;   668
Denver, Colorado           ; Salt Lake City, Utah      ;            6;      36;  769;   669
Kansas City, Missouri      ; Madison, Wisconsin        ;            7;      66;  736;   670
Kansas City, Missouri      ; Salt Lake City, Utah      ;            7;      43;  677;   671
Denver, Colorado           ; Salt Lake City, Utah      ;            9;      42;  693;   672
Kansas City, Missouri      ; Denver, Colorado          ;            2;      90;  788;   673
San Francisco, California  ; Madison, Wisconsin        ;           10;      70;  750;   674
Kansas City, Missouri      ; Madison, Wisconsin        ;            2;      56;  602;   675
San Francisco, California  ; Salt Lake City, Utah      ;           10;      18;  684;   676
Denver, Colorado           ; Madison, Wisconsin        ;            2;      90;  678;   677
Denver, Colorado           ; Madison, Wisconsin        ;           10;      96;  608;   678
San Francisco, California  ; Denver, Colorado          ;            6;      54;  960;   679
Kansas City, Missouri      ; Salt Lake City, Utah      ;            4;      67;  607;   680
Kansas City, Missouri      ; Madison, Wisconsin        ;           10;      44;  989;   681
Denver, Colorado           ; Salt Lake City, Utah      ;           10;      82;  951;   682
Kansas City, Missouri      ; Salt Lake City, Utah      ;           10;      41;  871;   683
San Francisco, California  ; Salt Lake City, Utah      ;            8;      15;  927;   684
Kansas City, Missouri      ; Denver, Colorado          ;            4;      86;  935;   685
Denver, Colorado           ; Salt Lake City, Utah      ;            4;      52;  652;   686
San Francisco, California  ; Madison, Wisconsin        ;            4;     100;  990;   687
San Francisco, California  ; Denver, Colorado          ;            4;      27;  631;   688
Kansas City, Missouri      ; Madison, Wisconsin        ;            3;      65;  881;   689
Denver, Colorado           ; Salt Lake City, Utah      ;            3;      18;  822;   690
Denver, Colorado           ; Salt Lake City, Utah      ;            8;      78;  946;   691
Kansas City, Missouri      ; Denver, Colorado          ;            1;      77;  781;   692
Denver, Colorado           ; Salt Lake City, Utah      ;            3;      58;  882;   693
Kansas City, Missouri      ; Denver, Colorado          ;            9;      48;  763;   694
Kansas City, Missouri      ; Denver, Colorado          ;            8;      45;  821;   695
Denver, Colorado           ; Salt Lake City, Utah      ;            5;      58;  803;   696
San Francisco, California  ; Denver, Colorado          ;            9;      76;  654;   697
San Francisco, California  ; Denver, Colorado          ;            4;      80;  982;   698
Kansas City, Missouri      ; Salt Lake City, Utah      ;            8;      36;  732;   699
San Francisco, California  ; Madison, Wisconsin        ;            9;       2;  604;   700
Kansas City, Missouri      ; Denver, Colorado          ;            2;      79;  879;   701
San Francisco, California  ; Madison, Wisconsin        ;            8;      31;  794;   702
Denver, Colorado           ; Salt Lake City, Utah      ;           10;      18;  781;   703
San Francisco, California  ; Denver, Colorado          ;            6;      56;  971;   704
Denver, Colorado           ; Madison, Wisconsin        ;            4;      72;  624;   705
Kansas City, Missouri      ; Denver, Colorado          ;            3;       1;  653;   706
Kansas City, Missouri      ; Salt Lake City, Utah      ;            3;      94;  822;   707
San Francisco, California  ; Salt Lake City, Utah      ;            7;       8;  936;   708
Kansas City, Missouri      ; Denver, Colorado          ;            1;       8;  969;   709
Kansas City, Missouri      ; Salt Lake City, Utah      ;            7;      57;  637;   710
Denver, Colorado           ; Salt Lake City, Utah      ;            9;      18;  739;   711
San Francisco, California  ; Madison, Wisconsin        ;            5;      76;  996;   712
San Francisco, California  ; Salt Lake City, Utah      ;            3;      90;  825;   713
Kansas City, Missouri      ; Madison, Wisconsin        ;            8;      35;  969;   714
San Francisco, California  ; Madison, Wisconsin        ;            5;      61;  756;   715
San Francisco, California  ; Denver, Colorado          ;            1;       1;  845;   716
Denver, Colorado           ; Salt Lake City, Utah      ;           10;      99;  761;   717
Denver, Colorado           ; Madison, Wisconsin        ;            4;      58;  800;   718
San Francisco, California  ; Salt Lake City, Utah      ;            5;      37;  675;   719
San Francisco, California  ; Madison, Wisconsin        ;            9;      71;  901;   720
Denver, Colorado           ; Salt Lake City, Utah      ;            7;      24;  893;   721
San Francisco, California  ; Salt Lake City, Utah      ;            5;      66;  788;   722
San Francisco, California  ; Denver, Colorado          ;           10;      23;  850;   723
Denver, Colorado           ; Salt Lake City, Utah      ;            9;      63;  971;   724
San Francisco, California  ; Salt Lake City, Utah      ;            8;      54;  912;   725
Denver, Colorado           ; Madison, Wisconsin        ;            8;      25;  786;   726
Denver, Colorado           ; Salt Lake City, Utah      ;            7;      11;  826;   727
Denver, Colorado           ; Madison, Wisconsin        ;            9;      37;  672;   728
Kansas City, Missouri      ; Salt Lake City, Utah      ;            3;      59;  735;   729
Denver, Colorado           ; Salt Lake City, Utah      ;            5;      22;  800;   730
Kansas City, Missouri      ; Salt Lake City, Utah      ;            8;      86;  760;   731
Kansas City, Missouri      ; Madison, Wisconsin        ;            5;      18;  742;   732
Denver, Colorado           ; Salt Lake City, Utah      ;            2;      37;  978;   733
Kansas City, Missouri      ; Madison, Wisconsin        ;           10;      89;  987;   734
San Francisco, California  ; Denver, Colorado          ;            5;      27;  678;   735
Denver, Colorado           ; Salt Lake City, Utah      ;            8;      24;  929;   736
Denver, Colorado           ; Madison, Wisconsin        ;            1;      83;  736;   737
San Francisco, California  ; Denver, Colorado          ;           10;      83;  952;   738
Kansas City, Missouri      ; Denver, Colorado          ;            2;      31;  832;   739
Denver, Colorado           ; Salt Lake City, Utah      ;           10;      19;  827;   740
Kansas City, Missouri      ; Denver, Colorado          ;           10;       1;  708;   741
Denver, Colorado           ; Salt Lake City, Utah      ;            4;      86;  704;   742
Denver, Colorado           ; Madison, Wisconsin        ;            6;      87;  810;   743
Kansas City, Missouri      ; Denver, Colorado          ;            6;      91;  730;   744
San Francisco, California  ; Salt Lake City, Utah      ;            7;      18;  806;   745
San Francisco, California  ; Salt Lake City, Utah      ;            8;      85;  780;   746
Kansas City, Missouri      ; Madison, Wisconsin        ;            7;      66;  752;   747
San Francisco, California  ; Madison, Wisconsin        ;            3;      64;  966;   748
San Francisco, California  ; Denver, Colorado          ;            2;       8;  633;   749
Denver, Colorado           ; Madison, Wisconsin        ;            9;      79;  872;   750
San Francisco, California  ; Denver, Colorado          ;            2;      40;  622;   751
Kansas City, Missouri      ; Salt Lake City, Utah      ;            9;      96;  744;   752
San Francisco, California  ; Madison, Wisconsin        ;            9;      78;  803;   753
San Francisco, California  ; Salt Lake City, Utah      ;            2;      11;  707;   754
Denver, Colorado           ; Madison, Wisconsin        ;            3;      48;  758;   755
San Francisco, California  ; Salt Lake City, Utah      ;            7;      91;  831;   756
Denver, Colorado           ; Madison, Wisconsin        ;            7;      12;  940;   757
Denver, Colorado           ; Salt Lake City, Utah      ;            3;      55;  895;   758
Denver, Colorado           ; Madison, Wisconsin        ;            6;      58;  652;   759
Kansas City, Missouri      ; Denver, Colorado          ;            1;      65;  742;   760
Denver, Colorado           ; Salt Lake City, Utah      ;            1;      72;  963;   761
Kansas City, Missouri      ; Madison, Wisconsin        ;            6;      73;  668;   762
Denver, Colorado           ; Salt Lake City, Utah      ;            6;      77;  611;   763
Denver, Colorado           ; Salt Lake City, Utah      ;           10;      82;  899;   764
San Francisco, California  ; Madison, Wisconsin        ;            6;      82;  980;   765
San Francisco, California  ; Salt Lake City, Utah      ;            7;      53;  871;   766
Denver, Colorado           ; Salt Lake City, Utah      ;            9;      59;  775;   767
Denver, Colorado           ; Salt Lake City, Utah      ;            6;      73;  731;   768
San Francisco, California  ; Salt Lake City, Utah      ;            3;       4;  641;   769
Denver, Colorado           ; Madison, Wisconsin        ;            1;      22;  986;   770
San Francisco, California  ; Denver, Colorado          ;            6;      41;  987;   771
San Francisco, California  ; Salt Lake City, Utah      ;           10;      52;  880;   772
Kansas City, Missouri      ; Denver, Colorado          ;            1;      59;  680;   773
San Francisco, California  ; Denver, Colorado          ;           10;      51;  804;   774
Kansas City, Missouri      ; Madison, Wisconsin        ;            3;      45;  894;   775
Kansas City, Missouri      ; Madison, Wisconsin        ;            4;      80;  610;   776
Kansas City, Missouri      ; Madison, Wisconsin        ;            9;      12;  820;   777
Denver, Colorado           ; Madison, Wisconsin        ;            1;      32;  687;   778
Kansas City, Missouri      ; Denver, Colorado          ;            8;      43;  689;   779
Kansas City, Missouri      ; Denver, Colorado          ;            5;      43;  748;   780
Kansas City, Missouri      ; Denver, Colorado          ;            8;      18;  806;   781
San Francisco, California  ; Denver, Colorado          ;            2;       1;  864;   782
Denver, Colorado           ; Madison, Wisconsin        ;            5;      43;  852;   783
Denver, Colorado           ; Salt Lake City, Utah      ;            3;      54;  854;   784
Kansas City, Missouri      ; Denver, Colorado          ;            9;      36;  935;   785
Denver, Colorado           ; Madison, Wisconsin        ;            9;      38;  720;   786
Kansas City, Missouri      ; Madison, Wisconsin        ;            9;      77;  635;   787
Kansas City, Missouri      ; Denver, Colorado          ;            8;      22;  648;   788
Kansas City, Missouri      ; Salt Lake City, Utah      ;            2;      37;  963;   789
Denver, Colorado           ; Salt Lake City, Utah      ;            2;      48;  682;   790
Denver, Colorado           ; Salt Lake City, Utah      ;            2;     100;  811;   791
San Francisco, California  ; Denver, Colorado          ;            7;      59;  969;   792
Denver, Colorado           ; Salt Lake City, Utah      ;            5;      16;  861;   793
San Francisco, California  ; Denver, Colorado          ;            4;      61;  653;   794
Denver, Colorado           ; Madison, Wisconsin        ;           10;      42;  700;   795
Denver, Colorado           ; Salt Lake City, Utah      ;            9;      90;  602;   796
Denver, Colorado           ; Salt Lake City, Utah      ;            1;       1;  794;   797
Kansas City, Missouri      ; Denver, Colorado          ;            5;      88;  858;   798
San Francisco, California  ; Madison, Wisconsin        ;            8;      46;  777;   799
San Francisco, California  ; Salt Lake City, Utah      ;            9;      68;  650;   800
San Francisco, California  ; Salt Lake City, Utah      ;            8;      28;  963;   801
Denver, Colorado           ; Madison, Wisconsin        ;           10;      57;  764;   802
San Francisco, California  ; Denver, Colorado          ;            1;      72;  847;   803
Denver, Colorado           ; Salt Lake City, Utah      ;            2;      47;  678;   804
San Francisco, California  ; Salt Lake City, Utah      ;            1;      38;  905;   805
Denver, Colorado           ; Madison, Wisconsin        ;           10;      81;  724;   806
Denver, Colorado           ; Madison, Wisconsin        ;            1;      96;  673;   807
San Francisco, California  ; Denver, Colorado          ;           10;      98;  653;   808
Kansas City, Missouri      ; Salt Lake City, Utah      ;            4;      91;  938;   809
Kansas City, Missouri      ; Denver, Colorado          ;            8;      90;  627;   810
Kansas City, Missouri      ; Denver, Colorado          ;            7;      47;  946;   811
Denver, Colorado           ; Salt Lake City, Utah      ;            4;       9;  781;   812
San Francisco, California  ; Salt Lake City, Utah      ;            7;      72;  616;   813
Denver, Colorado           ; Salt Lake City, Utah      ;            3;      56;  726;   814
Kansas City, Missouri      ; Madison, Wisconsin        ;            3;      84;  799;   815
Denver, Colorado           ; Salt Lake City, Utah      ;            7;       1;  752;   816
Denver, Colorado           ; Salt Lake City, Utah      ;            5;      36;  807;   817
Kansas City, Missouri      ; Madison, Wisconsin        ;            5;      28;  629;   818
Kansas City, Missouri      ; Denver, Colorado          ;            9;      49; 1000;   819
San Francisco, California  ; Madison, Wisconsin        ;            6;       9;  785;   820
Denver, Colorado           ; Salt Lake City, Utah      ;            4;       9;  875;   821
San Francisco, California  ; Madison, Wisconsin        ;            4;      49;  925;   822
San Francisco, California  ; Madison, Wisconsin        ;            4;      89;  782;   823
Denver, Colorado           ; Madison, Wisconsin        ;            6;      34;  863;   824
Kansas City, Missouri      ; Salt Lake City, Utah      ;            5;       7;  730;   825
San Francisco, California  ; Denver, Colorado          ;            1;      52;  706;   826
Kansas City, Missouri      ; Salt Lake City, Utah      ;            9;      63;  820;   827
Kansas City, Missouri      ; Salt Lake City, Utah      ;            1;      90;  857;   828
Kansas City, Missouri      ; Denver, Colorado          ;            9;      41;  872;   829
Kansas City, Missouri      ; Madison, Wisconsin        ;            6;      81;  620;   830
Kansas City, Missouri      ; Madison, Wisconsin        ;            2;      98;  968;   831
San Francisco, California  ; Denver, Colorado          ;            7;      58;  706;   832
Denver, Colorado           ; Salt Lake City, Utah      ;            4;      74;  744;   833
Denver, Colorado           ; Salt Lake City, Utah      ;            2;      98;  752;   834
San Francisco, California  ; Salt Lake City, Utah      ;            5;      99;  806;   835
San Francisco, California  ; Madison, Wisconsin        ;            5;      71;  883;   836
Denver, Colorado           ; Madison, Wisconsin        ;            1;      65;  636;   837
Kansas City, Missouri      ; Denver, Colorado          ;            7;      78;  703;   838
Denver, Colorado           ; Salt Lake City, Utah      ;            3;      70;  777;   839
Denver, Colorado           ; Salt Lake City, Utah      ;            7;      83;  980;   840
San Francisco, California  ; Madison, Wisconsin        ;            8;      52;  658;   841
San Francisco, California  ; Madison, Wisconsin        ;            4;      30;  703;   842
San Francisco, California  ; Salt Lake City, Utah      ;           10;       8;  720;   843
Kansas City, Missouri      ; Madison, Wisconsin        ;            8;      10;  837;   844
Denver, Colorado           ; Madison, Wisconsin        ;            3;      44;  782;   845
San Francisco, California  ; Denver, Colorado          ;            1;      11;  856;   846
Kansas City, Missouri      ; Denver, Colorado          ;            9;      48;  611;   847
Denver, Colorado           ; Madison, Wisconsin        ;            5;      38;  843;   848
Kansas City, Missouri      ; Salt Lake City, Utah      ;            6;      49;  627;   849
Kansas City, Missouri      ; Salt Lake City, Utah      ;            8;      86;  890;   850
Kansas City, Missouri      ; Madison, Wisconsin        ;            9;      38;  874;   851
Kansas City, Missouri      ; Salt Lake City, Utah      ;            4;      82;  878;   852
Denver, Colorado           ; Madison, Wisconsin        ;            4;      32;  678;   853
Kansas City, Missouri      ; Salt Lake City, Utah      ;            7;      13;  644;   854
San Francisco, California  ; Salt Lake City, Utah      ;           10;      68;  788;   855
Kansas City, Missouri      ; Salt Lake City, Utah      ;            2;      96;  676;   856
Denver, Colorado           ; Madison, Wisconsin        ;            8;      67;  697;   857
Denver, Colorado           ; Madison, Wisconsin        ;            6;      46;  736;   858
San Francisco, California  ; Madison, Wisconsin        ;            5;      89;  844;   859
Denver, Colorado           ; Madison, Wisconsin        ;            9;      28;  885;   860
Denver, Colorado           ; Salt Lake City, Utah      ;            1;      43;  735;   861
Denver, Colorado           ; Salt Lake City, Utah      ;            1;      63;  803;   862
San Francisco, California  ; Salt Lake City, Utah      ;            1;      59;  939;   863
Denver, Colorado           ; Madison, Wisconsin        ;            2;      80;  886;   864
San Francisco, California  ; Salt Lake City, Utah      ;            6;      56;  941;   865
Denver, Colorado           ; Salt Lake City, Utah      ;            8;      59;  962;   866
Denver, Colorado           ; Salt Lake City, Utah      ;            4;      92;  771;   867
Denver, Colorado           ; Salt Lake City, Utah      ;            5;      33;  985;   868
Kansas City, Missouri      ; Madison, Wisconsin        ;            8;      77;  935;   869
Denver, Colorado           ; Salt Lake City, Utah      ;            5;      13;  893;   870
San Francisco, California  ; Salt Lake City, Utah      ;            7;       7;  662;   871
San Francisco, California  ; Madison, Wisconsin        ;           10;      69;  835;   872
San Francisco, California  ; Madison, Wisconsin        ;            3;      21;  977;   873
San Francisco, California  ; Madison, Wisconsin        ;            5;      90;  953;   874
Kansas City, Missouri      ; Madison, Wisconsin        ;           10;      88;  829;   875
Kansas City, Missouri      ; Madison, Wisconsin        ;            6;      66;  971;   876
Kansas City, Missouri      ; Madison, Wisconsin        ;            9;       4;  711;   877
Kansas City, Missouri      ; Madison, Wisconsin        ;            2;      45;  867;   878
San Francisco, California  ; Madison, Wisconsin        ;            2;      92;  953;   879
Denver, Colorado           ; Madison, Wisconsin        ;            2;      85;  669;   880
San Francisco, California  ; Madison, Wisconsin        ;            5;      76;  633;   881
Denver, Colorado           ; Salt Lake City, Utah      ;            8;      48;  795;   882
Denver, Colorado           ; Salt Lake City, Utah      ;            7;       6;  674;   883
San Francisco, California  ; Salt Lake City, Utah      ;            4;      84;  863;   884
Denver, Colorado           ; Salt Lake City, Utah      ;            8;      71;  959;   885
Kansas City, Missouri      ; Salt Lake City, Utah      ;           10;      90;  644;   886
