#Source                    |Destination                |Total Strands|Capacity|Bid  |Client
#=============================================================================================
San Francisco, California  ; Denver, Colorado          ;            5;       7;  639;     0
San Francisco, California  ; Denver, Colorado          ;            3;       1;  884;   377
Denver, Colorado           ; Madison, Wisconsin        ;            8;      48;  632;   378
Salt Lake City, Utah       ; Madison, Wisconsin        ;            6;      22;  768;   379
San Francisco, California  ; Madison, Wisconsin        ;            8;      13;  893;   380
San Francisco, California  ; Madison, Wisconsin        ;            2;      70;  787;   381
San Francisco, California  ; Denver, Colorado          ;            7;      58;  870;   382
San Francisco, California  ; Salt Lake City, Utah      ;            5;      55;  914;   383
Salt Lake City, Utah       ; Denver, Colorado          ;            7;      32;  839;   384
San Francisco, California  ; Denver, Colorado          ;            8;      11;  988;   385
San Francisco, California  ; Salt Lake City, Utah      ;            6;      77;  791;   386
Salt Lake City, Utah       ; Denver, Colorado          ;            2;      54;  864;   387
San Francisco, California  ; Kansas City, Missouri     ;           10;       7;  841;   388
Kansas City, Missouri      ; Madison, Wisconsin        ;            2;       4;  776;   389
Denver, Colorado           ; Salt Lake City, Utah      ;            5;      37;  665;   390
San Francisco, California  ; Salt Lake City, Utah      ;            2;      83;  909;   391
San Francisco, California  ; Denver, Colorado          ;            3;      43;  953;   392
San Francisco, California  ; Madison, Wisconsin        ;           10;      60;  937;   393
Denver, Colorado           ; Madison, Wisconsin        ;            5;      90;  829;   394
San Francisco, California  ; Denver, Colorado          ;            2;      98;  686;   395
Salt Lake City, Utah       ; Denver, Colorado          ;           10;       9;  745;   396
Salt Lake City, Utah       ; Denver, Colorado          ;            5;      94;  934;   397
Kansas City, Missouri      ; Salt Lake City, Utah      ;           10;      34;  935;   398
Kansas City, Missouri      ; Denver, Colorado          ;            1;      16;  866;   399
San Francisco, California  ; Madison, Wisconsin        ;            3;      37;  951;   400
Kansas City, Missouri      ; Madison, Wisconsin        ;            3;      73;  967;   401
Denver, Colorado           ; Kansas City, Missouri     ;            9;      19;  765;   402
Kansas City, Missouri      ; Salt Lake City, Utah      ;            8;      97;  828;   403
Kansas City, Missouri      ; Madison, Wisconsin        ;            6;      15;  716;   404
Salt Lake City, Utah       ; Madison, Wisconsin        ;            2;      79;  868;   405
Kansas City, Missouri      ; Denver, Colorado          ;           10;      75;  703;   406
Denver, Colorado           ; Kansas City, Missouri     ;            6;      98;  741;   407
Salt Lake City, Utah       ; Madison, Wisconsin        ;            3;      36;  816;   408
Kansas City, Missouri      ; Denver, Colorado          ;            9;      98;  703;   409
Salt Lake City, Utah       ; Kansas City, Missouri     ;           10;      82;  666;   410
Salt Lake City, Utah       ; Kansas City, Missouri     ;            4;       3;  912;   411
Denver, Colorado           ; Kansas City, Missouri     ;           10;      27;  752;   412
Kansas City, Missouri      ; Salt Lake City, Utah      ;            5;      49;  606;   413
Denver, Colorado           ; Kansas City, Missouri     ;            3;      10;  740;   414
San Francisco, California  ; Salt Lake City, Utah      ;            3;      11;  959;   415
Kansas City, Missouri      ; Madison, Wisconsin        ;           10;      66;  711;   416
Denver, Colorado           ; Madison, Wisconsin        ;            2;      42;  626;   417
Salt Lake City, Utah       ; Kansas City, Missouri     ;            9;      15;  736;   418
Salt Lake City, Utah       ; Denver, Colorado          ;           10;      49;  985;   419
Salt Lake City, Utah       ; Madison, Wisconsin        ;            7;       8;  968;   420
Kansas City, Missouri      ; Salt Lake City, Utah      ;            7;      60;  663;   421
San Francisco, California  ; Kansas City, Missouri     ;            6;      56;  882;   422
San Francisco, California  ; Madison, Wisconsin        ;            7;      55;  676;   423
San Francisco, California  ; Denver, Colorado          ;            2;      62;  815;   424
Kansas City, Missouri      ; Madison, Wisconsin        ;            6;      55;  861;   425
Kansas City, Missouri      ; Salt Lake City, Utah      ;            5;       7;  615;   426
Salt Lake City, Utah       ; Denver, Colorado          ;            7;      16;  791;   427
Denver, Colorado           ; Madison, Wisconsin        ;            2;      85;  742;   428
Salt Lake City, Utah       ; Kansas City, Missouri     ;            3;      77;  748;   429
Kansas City, Missouri      ; Denver, Colorado          ;            7;      51;  756;   430
San Francisco, California  ; Kansas City, Missouri     ;            7;      32;  788;   431
Salt Lake City, Utah       ; Kansas City, Missouri     ;            9;      62;  794;   432
Kansas City, Missouri      ; Denver, Colorado          ;            2;      72;  628;   433
San Francisco, California  ; Denver, Colorado          ;            1;       7;  715;   434
Denver, Colorado           ; Salt Lake City, Utah      ;           10;      67;  727;   435
Kansas City, Missouri      ; Salt Lake City, Utah      ;            3;      11;  770;   436
Salt Lake City, Utah       ; Madison, Wisconsin        ;            3;      49;  879;   437
Salt Lake City, Utah       ; Madison, Wisconsin        ;            9;      78;  916;   438
Denver, Colorado           ; Madison, Wisconsin        ;            7;      54;  934;   439
Kansas City, Missouri      ; Salt Lake City, Utah      ;            1;      67;  703;   440
Denver, Colorado           ; Madison, Wisconsin        ;            5;      38;  966;   441
Kansas City, Missouri      ; Madison, Wisconsin        ;            7;       6;  840;   442
Kansas City, Missouri      ; Salt Lake City, Utah      ;            6;      99;  843;   443
Salt Lake City, Utah       ; Denver, Colorado          ;            1;     100;  990;   444
Salt Lake City, Utah       ; Madison, Wisconsin        ;            9;      57;  757;   445
Kansas City, Missouri      ; Salt Lake City, Utah      ;            3;      65;  699;   446
Kansas City, Missouri      ; Salt Lake City, Utah      ;            9;      21;  752;   447
Denver, Colorado           ; Kansas City, Missouri     ;            3;      60;  906;   448
Kansas City, Missouri      ; Madison, Wisconsin        ;            5;      73;  959;   449
San Francisco, California  ; Kansas City, Missouri     ;            1;      46;  794;   450
Salt Lake City, Utah       ; Denver, Colorado          ;            6;      41;  723;   451
San Francisco, California  ; Denver, Colorado          ;            9;      95;  746;   452
Denver, Colorado           ; Kansas City, Missouri     ;            9;      75;  908;   453
Kansas City, Missouri      ; Denver, Colorado          ;            6;      80;  975;   454
Salt Lake City, Utah       ; Kansas City, Missouri     ;            1;      45;  881;   455
San Francisco, California  ; Madison, Wisconsin        ;            7;      34;  972;   456
Salt Lake City, Utah       ; Madison, Wisconsin        ;            3;      39;  631;   457
Denver, Colorado           ; Kansas City, Missouri     ;            2;      49;  619;   458
Salt Lake City, Utah       ; Denver, Colorado          ;            7;      24;  605;   459
Denver, Colorado           ; Salt Lake City, Utah      ;           10;      79;  663;   460
Denver, Colorado           ; Salt Lake City, Utah      ;            8;       2;  962;   461
San Francisco, California  ; Madison, Wisconsin        ;            9;      70;  801;   462
Salt Lake City, Utah       ; Madison, Wisconsin        ;            1;      58;  650;   463
San Francisco, California  ; Madison, Wisconsin        ;            4;      79;  757;   464
San Francisco, California  ; Salt Lake City, Utah      ;            9;      81;  743;   465
Kansas City, Missouri      ; Madison, Wisconsin        ;            5;      45;  888;   466
Kansas City, Missouri      ; Madison, Wisconsin        ;           10;      50;  759;   467
San Francisco, California  ; Salt Lake City, Utah      ;           10;      58;  665;   468
Salt Lake City, Utah       ; Denver, Colorado          ;            3;      61;  870;   469
San Francisco, California  ; Salt Lake City, Utah      ;           10;      97;  829;   470
Denver, Colorado           ; Madison, Wisconsin        ;            6;      32;  817;   471
San Francisco, California  ; Madison, Wisconsin        ;            9;      17;  743;   472
San Francisco, California  ; Kansas City, Missouri     ;            4;       3;  848;   473
Kansas City, Missouri      ; Denver, Colorado          ;            3;      50;  657;   474
Denver, Colorado           ; Madison, Wisconsin        ;           10;      61;  986;   475
Kansas City, Missouri      ; Denver, Colorado          ;            4;      82;  666;   476
Denver, Colorado           ; Kansas City, Missouri     ;           10;      38;  828;   477
Denver, Colorado           ; Madison, Wisconsin        ;            6;       6;  939;   478
San Francisco, California  ; Denver, Colorado          ;            8;      26;  903;   479
Salt Lake City, Utah       ; Madison, Wisconsin        ;            9;      85;  926;   480
Kansas City, Missouri      ; Salt Lake City, Utah      ;           10;      41;  984;   481
San Francisco, California  ; Madison, Wisconsin        ;            2;      79;  842;   482
Salt Lake City, Utah       ; Kansas City, Missouri     ;            8;      94;  819;   483
Salt Lake City, Utah       ; Kansas City, Missouri     ;            2;       1;  881;   484
Salt Lake City, Utah       ; Madison, Wisconsin        ;            5;       2;  690;   485
San Francisco, California  ; Salt Lake City, Utah      ;            9;      18;  953;   486
Kansas City, Missouri      ; Salt Lake City, Utah      ;            2;      17;  839;   487
Salt Lake City, Utah       ; Denver, Colorado          ;            9;      50;  863;   488
Denver, Colorado           ; Kansas City, Missouri     ;            7;      73;  617;   489
Denver, Colorado           ; Madison, Wisconsin        ;            2;      59;  844;   490
San Francisco, California  ; Madison, Wisconsin        ;            6;      22;  707;   491
San Francisco, California  ; Denver, Colorado          ;            7;      84;  829;   492
San Francisco, California  ; Kansas City, Missouri     ;            8;      33;  662;   493
Kansas City, Missouri      ; Denver, Colorado          ;            7;      34;  621;   494
Salt Lake City, Utah       ; Kansas City, Missouri     ;            2;      57;  758;   495
Kansas City, Missouri      ; Denver, Colorado          ;            1;      85;  845;   496
Denver, Colorado           ; Kansas City, Missouri     ;            2;      24;  867;   497
Kansas City, Missouri      ; Madison, Wisconsin        ;            4;      12;  604;   498
Kansas City, Missouri      ; Denver, Colorado          ;            7;      68;  808;   499
Kansas City, Missouri      ; Salt Lake City, Utah      ;            6;      78;  651;   500
Kansas City, Missouri      ; Madison, Wisconsin        ;            5;      45;  842;   501
San Francisco, California  ; Salt Lake City, Utah      ;            1;      60;  624;   502
San Francisco, California  ; Salt Lake City, Utah      ;            8;      98;  969;   503
San Francisco, California  ; Kansas City, Missouri     ;            6;      22;  764;   504
San Francisco, California  ; Madison, Wisconsin        ;           10;       7;  745;   505
Salt Lake City, Utah       ; Kansas City, Missouri     ;            7;      19;  652;   506
Kansas City, Missouri      ; Madison, Wisconsin        ;            9;      84;  874;   507
Kansas City, Missouri      ; Salt Lake City, Utah      ;            1;      61;  931;   508
Salt Lake City, Utah       ; Denver, Colorado          ;            4;      81;  945;   509
Kansas City, Missouri      ; Denver, Colorado          ;            5;      46;  885;   510
San Francisco, California  ; Kansas City, Missouri     ;            6;      39;  768;   511
Salt Lake City, Utah       ; Denver, Colorado          ;            7;      59;  959;   512
San Francisco, California  ; Salt Lake City, Utah      ;            6;      78;  789;   513
Kansas City, Missouri      ; Madison, Wisconsin        ;            6;      48;  806;   514
San Francisco, California  ; Denver, Colorado          ;            4;       7;  738;   515
San Francisco, California  ; Madison, Wisconsin        ;            4;      81;  958;   516
San Francisco, California  ; Kansas City, Missouri     ;            2;      80;  645;   517
Salt Lake City, Utah       ; Kansas City, Missouri     ;            6;       4;  918;   518
Kansas City, Missouri      ; Salt Lake City, Utah      ;            4;       3;  615;   519
Kansas City, Missouri      ; Madison, Wisconsin        ;            6;       5;  632;   520
San Francisco, California  ; Salt Lake City, Utah      ;            9;      12;  809;   521
San Francisco, California  ; Kansas City, Missouri     ;            3;      82;  758;   522
Denver, Colorado           ; Salt Lake City, Utah      ;            9;      51;  647;   523
San Francisco, California  ; Salt Lake City, Utah      ;            3;      58;  641;   524
Salt Lake City, Utah       ; Kansas City, Missouri     ;            2;      30;  773;   525
Salt Lake City, Utah       ; Denver, Colorado          ;           10;      45;  796;   526
Denver, Colorado           ; Kansas City, Missouri     ;            5;      77;  662;   527
Denver, Colorado           ; Salt Lake City, Utah      ;            3;       4;  827;   528
Denver, Colorado           ; Salt Lake City, Utah      ;            3;     100;  746;   529
Kansas City, Missouri      ; Madison, Wisconsin        ;            6;      26;  612;   530
Salt Lake City, Utah       ; Denver, Colorado          ;            8;      89;  980;   531
San Francisco, California  ; Salt Lake City, Utah      ;           10;      17;  655;   532
San Francisco, California  ; Kansas City, Missouri     ;            2;      15;  830;   533
Kansas City, Missouri      ; Madison, Wisconsin        ;            8;      53;  666;   534
Denver, Colorado           ; Salt Lake City, Utah      ;            5;      24;  623;   535
Kansas City, Missouri      ; Salt Lake City, Utah      ;            8;      20;  652;   536
Kansas City, Missouri      ; Denver, Colorado          ;            5;      98;  802;   537
San Francisco, California  ; Kansas City, Missouri     ;            1;       6;  839;   538
Salt Lake City, Utah       ; Madison, Wisconsin        ;            6;      88;  814;   539
Kansas City, Missouri      ; Madison, Wisconsin        ;            7;      96;  670;   540
San Francisco, California  ; Madison, Wisconsin        ;            7;      23;  700;   541
Denver, Colorado           ; Kansas City, Missouri     ;            7;      65;  668;   542
San Francisco, California  ; Salt Lake City, Utah      ;            1;      95;  625;   543
San Francisco, California  ; Denver, Colorado          ;            6;      87;  638;   544
Salt Lake City, Utah       ; Denver, Colorado          ;           10;      69;  784;   545
Salt Lake City, Utah       ; Madison, Wisconsin        ;            9;      10;  777;   546
Denver, Colorado           ; Salt Lake City, Utah      ;            4;      18;  949;   547
Kansas City, Missouri      ; Salt Lake City, Utah      ;            5;      79;  820;   548
Kansas City, Missouri      ; Madison, Wisconsin        ;           10;      58;  802;   549
Salt Lake City, Utah       ; Kansas City, Missouri     ;            6;      70;  864;   550
Salt Lake City, Utah       ; Madison, Wisconsin        ;            6;       4;  914;   551
Denver, Colorado           ; Kansas City, Missouri     ;           10;      96;  869;   552
San Francisco, California  ; Denver, Colorado          ;            7;       9;  628;   553
Denver, Colorado           ; Kansas City, Missouri     ;           10;      35;  925;   554
Salt Lake City, Utah       ; Denver, Colorado          ;            3;      94;  788;   555
Denver, Colorado           ; Kansas City, Missouri     ;            9;      51;  834;   556
Salt Lake City, Utah       ; Madison, Wisconsin        ;            8;      36;  629;   557
Kansas City, Missouri      ; Madison, Wisconsin        ;            2;      49;  722;   558
Kansas City, Missouri      ; Madison, Wisconsin        ;            4;      99;  704;   559
San Francisco, California  ; Kansas City, Missouri     ;            4;      65;  913;   560
Kansas City, Missouri      ; Salt Lake City, Utah      ;            8;      63;  752;   561
Kansas City, Missouri      ; Salt Lake City, Utah      ;            1;      23;  810;   562
Salt Lake City, Utah       ; Kansas City, Missouri     ;            6;      49;  664;   563
Denver, Colorado           ; Salt Lake City, Utah      ;            6;      85;  683;   564
Denver, Colorado           ; Kansas City, Missouri     ;            4;      74;  737;   565
Denver, Colorado           ; Kansas City, Missouri     ;            7;      26;  940;   566
Kansas City, Missouri      ; Denver, Colorado          ;            5;      32;  976;   567
Salt Lake City, Utah       ; Kansas City, Missouri     ;            3;      24;  774;   568
San Francisco, California  ; Madison, Wisconsin        ;            2;      24;  822;   569
Denver, Colorado           ; Kansas City, Missouri     ;            1;      29;  893;   570
San Francisco, California  ; Salt Lake City, Utah      ;            4;      24;  997;   571
Denver, Colorado           ; Salt Lake City, Utah      ;           10;      27;  809;   572
San Francisco, California  ; Denver, Colorado          ;            6;      77;  861;   573
Salt Lake City, Utah       ; Kansas City, Missouri     ;            7;      47;  677;   574
San Francisco, California  ; Madison, Wisconsin        ;            8;      58;  840;   575
Denver, Colorado           ; Kansas City, Missouri     ;            1;      85;  796;   576
Denver, Colorado           ; Salt Lake City, Utah      ;            8;       2;  766;   577
Kansas City, Missouri      ; Denver, Colorado          ;            1;      65;  758;   578
San Francisco, California  ; Salt Lake City, Utah      ;            4;      50;  906;   579
Salt Lake City, Utah       ; Denver, Colorado          ;            9;      76;  919;   580
Salt Lake City, Utah       ; Denver, Colorado          ;            5;      96;  797;   581
Kansas City, Missouri      ; Salt Lake City, Utah      ;            3;      52;  977;   582
Kansas City, Missouri      ; Salt Lake City, Utah      ;            9;      18;  722;   583
Denver, Colorado           ; Salt Lake City, Utah      ;            1;      42;  921;   584
Salt Lake City, Utah       ; Madison, Wisconsin        ;            6;      21;  850;   585
San Francisco, California  ; Kansas City, Missouri     ;            2;      65;  771;   586
Denver, Colorado           ; Madison, Wisconsin        ;            2;      57;  742;   587
San Francisco, California  ; Madison, Wisconsin        ;            5;      25;  906;   588
Denver, Colorado           ; Madison, Wisconsin        ;            8;      65;  601;   589
Salt Lake City, Utah       ; Denver, Colorado          ;           10;      88;  759;   590
Salt Lake City, Utah       ; Kansas City, Missouri     ;            9;      53;  792;   591
San Francisco, California  ; Madison, Wisconsin        ;            3;       4;  652;   592
Kansas City, Missouri      ; Salt Lake City, Utah      ;           10;      99;  850;   593
Denver, Colorado           ; Madison, Wisconsin        ;            4;      83;  901;   594
San Francisco, California  ; Salt Lake City, Utah      ;            6;      86;  999;   595
Denver, Colorado           ; Madison, Wisconsin        ;            5;      65;  839;   596
Kansas City, Missouri      ; Denver, Colorado          ;            1;      33;  666;   597
San Francisco, California  ; Madison, Wisconsin        ;            9;      32;  812;   598
San Francisco, California  ; Denver, Colorado          ;            9;      55;  855;   599
Denver, Colorado           ; Salt Lake City, Utah      ;            3;      74;  949;   600
San Francisco, California  ; Kansas City, Missouri     ;            2;      54;  777;   601
Kansas City, Missouri      ; Salt Lake City, Utah      ;            8;       1;  610;   602
Salt Lake City, Utah       ; Denver, Colorado          ;            9;      39;  602;   603
Denver, Colorado           ; Salt Lake City, Utah      ;            5;      84;  802;   604
Denver, Colorado           ; Madison, Wisconsin        ;            7;      39;  902;   605
Salt Lake City, Utah       ; Denver, Colorado          ;            8;      72;  763;   606
Kansas City, Missouri      ; Denver, Colorado          ;            2;      44;  927;   607
Kansas City, Missouri      ; Salt Lake City, Utah      ;            2;      41;  847;   608
Kansas City, Missouri      ; Madison, Wisconsin        ;            7;      64;  645;   609
San Francisco, California  ; Salt Lake City, Utah      ;            6;      85;  950;   610
Salt Lake City, Utah       ; Kansas City, Missouri     ;            2;      39;  888;   611
San Francisco, California  ; Madison, Wisconsin        ;            2;      39;  750;   612
Kansas City, Missouri      ; Madison, Wisconsin        ;            6;      53;  658;   613
Salt Lake City, Utah       ; Denver, Colorado          ;           10;      54;  767;   614
San Francisco, California  ; Madison, Wisconsin        ;            7;      33;  949;   615
San Francisco, California  ; Kansas City, Missouri     ;            2;      68;  924;   616
Denver, Colorado           ; Madison, Wisconsin        ;            1;      83;  632;   617
San Francisco, California  ; Madison, Wisconsin        ;            6;      67;  720;   618
Denver, Colorado           ; Madison, Wisconsin        ;            2;      13;  992;   619
San Francisco, California  ; Denver, Colorado          ;            7;      40;  851;   620
Denver, Colorado           ; Madison, Wisconsin        ;            5;      12;  892;   621
Denver, Colorado           ; Kansas City, Missouri     ;            1;      79;  620;   622
San Francisco, California  ; Denver, Colorado          ;            7;      68;  659;   623
Kansas City, Missouri      ; Salt Lake City, Utah      ;            4;      58;  892;   624
Salt Lake City, Utah       ; Madison, Wisconsin        ;            1;      60;  621;   625
Salt Lake City, Utah       ; Kansas City, Missouri     ;            1;      44;  951;   626
San Francisco, California  ; Madison, Wisconsin        ;           10;      90;  691;   627
San Francisco, California  ; Kansas City, Missouri     ;            4;      82;  972;   628
Kansas City, Missouri      ; Madison, Wisconsin        ;            7;       4;  751;   629
San Francisco, California  ; Denver, Colorado          ;            2;      25;  763;   630
Salt Lake City, Utah       ; Madison, Wisconsin        ;            8;      79;  965;   631
Kansas City, Missouri      ; Salt Lake City, Utah      ;            1;      56;  873;   632
Kansas City, Missouri      ; Salt Lake City, Utah      ;            1;      59;  907;   633
Salt Lake City, Utah       ; Kansas City, Missouri     ;            1;      42;  635;   634
Kansas City, Missouri      ; Madison, Wisconsin        ;            8;      25;  718;   635
Kansas City, Missouri      ; Salt Lake City, Utah      ;            5;       6;  845;   636
Denver, Colorado           ; Salt Lake City, Utah      ;            9;      79;  795;   637
Kansas City, Missouri      ; Denver, Colorado          ;            1;      29;  941;   638
Kansas City, Missouri      ; Madison, Wisconsin        ;            7;      71;  689;   639
Salt Lake City, Utah       ; Madison, Wisconsin        ;            8;      33;  793;   640
Kansas City, Missouri      ; Salt Lake City, Utah      ;           10;      63;  722;   641
Denver, Colorado           ; Madison, Wisconsin        ;            7;      86;  995;   642
Denver, Colorado           ; Madison, Wisconsin        ;            9;      64;  951;   643
Salt Lake City, Utah       ; Denver, Colorado          ;            7;      16;  851;   644
Salt Lake City, Utah       ; Denver, Colorado          ;            3;       9;  839;   645
San Francisco, California  ; Denver, Colorado          ;           10;      16;  893;   646
San Francisco, California  ; Madison, Wisconsin        ;            7;      52;  906;   647
Denver, Colorado           ; Madison, Wisconsin        ;            3;      10;  682;   648
Denver, Colorado           ; Madison, Wisconsin        ;            5;      32;  841;   649
San Francisco, California  ; Kansas City, Missouri     ;            5;      41;  608;   650
Salt Lake City, Utah       ; Kansas City, Missouri     ;            9;      77;  697;   651
Denver, Colorado           ; Madison, Wisconsin        ;            6;      98;  936;   652
Denver, Colorado           ; Madison, Wisconsin        ;            2;      17;  804;   653
Kansas City, Missouri      ; Madison, Wisconsin        ;            6;     100;  907;   654
Kansas City, Missouri      ; Denver, Colorado          ;            1;      60;  659;   655
San Francisco, California  ; Madison, Wisconsin        ;           10;      37;  928;   656
Kansas City, Missouri      ; Denver, Colorado          ;            7;      97;  943;   657
Salt Lake City, Utah       ; Denver, Colorado          ;            1;      32;  985;   658
San Francisco, California  ; Kansas City, Missouri     ;            6;      86;  866;   659
Salt Lake City, Utah       ; Denver, Colorado          ;            6;      32;  633;   660
San Francisco, California  ; Salt Lake City, Utah      ;           10;     100;  799;   661
San Francisco, California  ; Denver, Colorado          ;            2;      11;  769;   662
San Francisco, California  ; Salt Lake City, Utah      ;            6;      50;  874;   663
Denver, Colorado           ; Kansas City, Missouri     ;            9;      83;  749;   664
Kansas City, Missouri      ; Madison, Wisconsin        ;            1;      15;  987;   665
Salt Lake City, Utah       ; Denver, Colorado          ;            6;      55;  930;   666
Kansas City, Missouri      ; Madison, Wisconsin        ;            3;      93;  620;   667
Salt Lake City, Utah       ; Denver, Colorado          ;            7;      48;  705;   668
Salt Lake City, Utah       ; Madison, Wisconsin        ;            3;      27;  773;   669
San Francisco, California  ; Kansas City, Missouri     ;            2;      80;  667;   670
Kansas City, Missouri      ; Madison, Wisconsin        ;            5;      20;  947;   671
San Francisco, California  ; Denver, Colorado          ;            3;      40;  654;   672
Denver, Colorado           ; Kansas City, Missouri     ;            8;      46;  891;   673
Denver, Colorado           ; Madison, Wisconsin        ;            4;      29;  831;   674
Denver, Colorado           ; Madison, Wisconsin        ;            5;      52;  745;   675
San Francisco, California  ; Denver, Colorado          ;            5;      95;  787;   676
Salt Lake City, Utah       ; Denver, Colorado          ;            3;      64;  997;   677
Salt Lake City, Utah       ; Kansas City, Missouri     ;            4;      57;  672;   678
San Francisco, California  ; Salt Lake City, Utah      ;            9;      25;  884;   679
San Francisco, California  ; Denver, Colorado          ;           10;      40;  916;   680
Salt Lake City, Utah       ; Denver, Colorado          ;            1;      32;  923;   681
Kansas City, Missouri      ; Denver, Colorado          ;            5;      76;  883;   682
San Francisco, California  ; Madison, Wisconsin        ;            4;      47;  924;   683
San Francisco, California  ; Kansas City, Missouri     ;            6;      65;  957;   684
Denver, Colorado           ; Salt Lake City, Utah      ;            3;      55;  750;   685
Denver, Colorado           ; Madison, Wisconsin        ;            9;      92;  687;   686
Denver, Colorado           ; Kansas City, Missouri     ;            6;      24;  933;   687
San Francisco, California  ; Salt Lake City, Utah      ;           10;      18;  832;   688
San Francisco, California  ; Kansas City, Missouri     ;            6;      29;  784;   689
Kansas City, Missouri      ; Denver, Colorado          ;            7;      86;  929;   690
Kansas City, Missouri      ; Salt Lake City, Utah      ;            5;      84;  674;   691
Denver, Colorado           ; Salt Lake City, Utah      ;            6;      72;  663;   692
Denver, Colorado           ; Kansas City, Missouri     ;            8;       9;  743;   693
Kansas City, Missouri      ; Madison, Wisconsin        ;            3;      76;  781;   694
Denver, Colorado           ; Kansas City, Missouri     ;            3;      98;  810;   695
San Francisco, California  ; Kansas City, Missouri     ;            7;      17;  766;   696
Salt Lake City, Utah       ; Denver, Colorado          ;            8;      79;  909;   697
Kansas City, Missouri      ; Salt Lake City, Utah      ;           10;      74;  935;   698
Kansas City, Missouri      ; Denver, Colorado          ;            5;      41;  602;   699
Denver, Colorado           ; Madison, Wisconsin        ;            1;      27;  923;   700
Kansas City, Missouri      ; Madison, Wisconsin        ;            7;      25;  659;   701
Salt Lake City, Utah       ; Denver, Colorado          ;            2;      76; 1000;   702
San Francisco, California  ; Madison, Wisconsin        ;            1;      99;  910;   703
Kansas City, Missouri      ; Salt Lake City, Utah      ;            6;      23;  792;   704
San Francisco, California  ; Denver, Colorado          ;            6;      43;  621;   705
Salt Lake City, Utah       ; Kansas City, Missouri     ;            8;      23;  747;   706
Denver, Colorado           ; Kansas City, Missouri     ;            3;      91;  962;   707
Denver, Colorado           ; Kansas City, Missouri     ;           10;      45;  997;   708
Denver, Colorado           ; Salt Lake City, Utah      ;            1;      94;  712;   709
Salt Lake City, Utah       ; Denver, Colorado          ;            6;      87;  826;   710
Salt Lake City, Utah       ; Madison, Wisconsin        ;            1;      91;  859;   711
Salt Lake City, Utah       ; Denver, Colorado          ;            8;      63;  977;   712
San Francisco, California  ; Kansas City, Missouri     ;            2;      50;  882;   713
Denver, Colorado           ; Kansas City, Missouri     ;            7;      75;  728;   714
Denver, Colorado           ; Salt Lake City, Utah      ;            3;      57;  941;   715
Denver, Colorado           ; Kansas City, Missouri     ;            3;      75;  711;   716
Kansas City, Missouri      ; Salt Lake City, Utah      ;            9;      99;  917;   717
Salt Lake City, Utah       ; Denver, Colorado          ;            7;      62;  904;   718
Kansas City, Missouri      ; Madison, Wisconsin        ;            3;      15;  759;   719
Salt Lake City, Utah       ; Kansas City, Missouri     ;            7;      77;  906;   720
Salt Lake City, Utah       ; Madison, Wisconsin        ;            5;      29;  840;   721
San Francisco, California  ; Kansas City, Missouri     ;            5;      24;  952;   722
San Francisco, California  ; Kansas City, Missouri     ;            7;      17;  886;   723
San Francisco, California  ; Salt Lake City, Utah      ;            4;      48;  664;   724
Salt Lake City, Utah       ; Kansas City, Missouri     ;            9;      57;  742;   725
San Francisco, California  ; Denver, Colorado          ;            4;      18;  916;   726
Denver, Colorado           ; Madison, Wisconsin        ;           10;      43;  754;   727
Salt Lake City, Utah       ; Denver, Colorado          ;           10;      35;  816;   728
Denver, Colorado           ; Madison, Wisconsin        ;            1;      58;  797;   729
San Francisco, California  ; Salt Lake City, Utah      ;            9;      86;  977;   730
San Francisco, California  ; Salt Lake City, Utah      ;            1;      36;  799;   731
Kansas City, Missouri      ; Denver, Colorado          ;            7;      49;  939;   732
Salt Lake City, Utah       ; Kansas City, Missouri     ;            5;      48;  651;   733
San Francisco, California  ; Madison, Wisconsin        ;            7;      79;  791;   734
Denver, Colorado           ; Madison, Wisconsin        ;            7;      76;  760;   735
Denver, Colorado           ; Salt Lake City, Utah      ;            4;      15;  874;   736
Kansas City, Missouri      ; Denver, Colorado          ;            6;      37;  742;   737
Kansas City, Missouri      ; Madison, Wisconsin        ;            2;      88;  604;   738
San Francisco, California  ; Madison, Wisconsin        ;            1;      89;  886;   739
Kansas City, Missouri      ; Madison, Wisconsin        ;            5;      45;  603;   740
Kansas City, Missouri      ; Denver, Colorado          ;            4;      48;  825;   741
Kansas City, Missouri      ; Madison, Wisconsin        ;            3;      22;  637;   742
Salt Lake City, Utah       ; Denver, Colorado          ;            9;      30;  909;   743
Denver, Colorado           ; Kansas City, Missouri     ;           10;      12;  814;   744
Salt Lake City, Utah       ; Kansas City, Missouri     ;            7;      25;  708;   745
Kansas City, Missouri      ; Denver, Colorado          ;            7;      77;  821;   746
Salt Lake City, Utah       ; Denver, Colorado          ;            3;      60;  827;   747
Denver, Colorado           ; Kansas City, Missouri     ;            2;      66;  680;   748
San Francisco, California  ; Madison, Wisconsin        ;            4;      72;  700;   749
Salt Lake City, Utah       ; Madison, Wisconsin        ;            1;      24;  936;   750
Kansas City, Missouri      ; Denver, Colorado          ;            7;      16;  794;   751
San Francisco, California  ; Madison, Wisconsin        ;            2;      79;  872;   752
Kansas City, Missouri      ; Denver, Colorado          ;            2;      31;  649;   753
Kansas City, Missouri      ; Denver, Colorado          ;            8;      42;  895;   754
Salt Lake City, Utah       ; Madison, Wisconsin        ;            7;      24;  673;   755
